label,text
alt.atheism,"
Hi Adda,

Most Bible scholars agree that there was one copy of each book at a certain
time -- the time when the author wrote it.  Unfortunately, like all works
from this time period and earlier, all that exists today are copies. 


There are parts of books, scraps really, that date from around the
mid second century (A.D. 130+).  There are some complete books, letters,
etc. from the middle third century.  The first complete collection of
the New Testament dates from the early 4th century (A.D. 325).  Throughout
this period are writings of various early church fathers/leaders who
quoted various scriptures in their writings.


If you mean that someone discovered thousands of ""Bibles"" which were all
perfect copies dating from the last part of the 1st century...No!

If you mean that there are thousands of early manuscripts (within the
dates given above, but not letter perfect) and that the most probable
text can be reconstructed from these documents and that the earliest
original autographs (now lost) probably were written starting sometime
shortly after A.D. 50, then yes.


From the original authors.  We call them Matthew, Mark, Luke, John, Peter,
Paul, James, and one other not identified.


As long as you make it.


Regards,"
alt.atheism,"
As I understand, that number is deceptive.  The reason is that the money
cost was in non-oil sales for the most part.  Iraq still is not allowed
to sell oil, or do many of the things under the initial sanctions, but
is still surviving.


Of the ~93% (I have heard figures closer to 80%, but I won't quibble your
figures), most was dropped in carpet bombing of regions only occupied by
enemy troops.  A B-52 drops a lot of bombs in one sortie, and we used them
around the clock.  Not to mention other smaller aircraft using dumb
munitions.  

2.  The Patriot uses a proximity fuse.  The adjusted figures for number
of Patriot kills of SS-1 derivitives is ~60-70%.  That figure came
not from some fluke in the Pentagon, but a someone working with such
stuff in another part of DoD.

3.  The statement precision bombing was the norm, is true around areas
where civilians were close to the target.  We dropped by tonnage very
little bombs in populated regions, explaining the figures.  


This figure, is far below all the other figures I have seen.  If it
is indeed accurate, then how do you explain the discrepancy between
that figure, and other figures from international organizations?
Most figures I have seen place the hit ratio close to 70%, which is 
still far higher than your 35%.  Or does your figure say a bomb
missed if the plane took off with it, and the bomb never hit the target,
regardless of whether or not the bomb was dropped?  Such methods
are used all the time to lie with statistics.


I have _never_ seen any source that was claiming such a figure.  Please
post the source so its reliability can be judged.  


"
alt.atheism,"

Just because the wording is elsewhere does not mean they didn't spend
much time on the wording.


People can be described as cruel in this way, but punishments cannot."
alt.atheism,"
What about the land mines which have already been mentioned?


Oh, very neat.  Dismiss everything I say unless I can prove beyond a shadow
of a doubt something which you yourself admit I can never prove to your
satisfaction.  Thanks, I'll stick to squaring circles.
"
alt.atheism,"

Anyone who dies for a ""cause"" runs the risk of dying for a lie.  As for
people being able to tell if he was a liar, well, we've had grifters and
charlatans since the beginning of civilization.  If David Copperfield had
been the Messiah, I bet he could have found plenty of believers.  
Jesus was hardly the first to claim to be a faith healer, and he wasn't the
first to be ""witnessed.""  What sets him apart?


Rubbish.  Nations have followed crazies, liars, psychopaths, and 
megalomaniacs throughout history.  Hitler, Tojo, Mussolini, Khomeini,
Qadaffi, Stalin, Papa Doc, and Nixon come to mind...all from this century.
Koresh is a non-issue.



Take a discrete mathematics or formal logic course.  There are flaws in your
logic everywhere.  And as I'm sure others will tell you, read the FAQ!



Of course, you have to believe the Bible first.  Just because something is
written in the Bible does not mean it is true, and the age of that tome plus
the lack of external supporting evidence makes it less credible.  So if you
do quote from the Bible in the future, try to back up that quote with 
supporting evidence.  Otherwise, you will get flamed mercilessly.



Just like weight lifting or guitar playing, eh?  I don't know how you 
define the world ""total,"" but I would imagine a ""total sacrafice [sp]
of everything for God's sake"" would involve more than a time commitment.

You are correct about our tendency to ""box everything into time units.""
Would you explain HOW one should involove God in sports and (hehehe)
television?"
alt.atheism,"
First of all, I'm not your buddy!  Second, read what I wrote.  I'm not
talking about what muslims are ALLOWED to do, merely what *SOME*
practice.  They consider themselves as muslim as you, so don't retort
with the old and tired ""they MUST NOT BE TRUE MUSLIMS"" bullshit.  If I
gave you the names what will you do with this information?  Is a fatwa
going to be leashed out against the perpetrators?  Do you honestly think
that someone who did it would voluntarily come forward and confess? 
With the kind of extremism shown by your co-religionaries?  Fat chance.

At any rate, there can be no conclusive ""proof"" by the very nature of
the act.  Perhaps people that indulge in this practice agree with you in
theory, but hope that Allah will forgive them in the end.

I think it's rather arrogant of you to pretend to speak for all muslims
in this regard.  Also, kind of silly.  Are you insinuating that because
the Koranic law forbids it, there are no criminals in muslim countries? 

This is as far as I care to go on this subject.  The weakness of your
arguments are for all netters to see.  Over and out...
-- "
alt.atheism,"(reference line trimmed)


[...]


Yes.


Well, for example, the goal of ""natural"" morality is the survival and
propogation of the species.  Another example of a moral system is
presented within the Declaration of Independence, which states that we
should be guaranteed life liberty and the pursuit of happiness.  You see,
to have a moral system, we must define the purpose of the system.  That is,
we shall be moral unto what end?


Well, murder violates the golen rule, which is certainly a pillar of most
every moral system.  However, I am not assuming that our current system
and the manner of its implementation are objectively moral.  I think that
it is a very good approximation, but we can't be perfect.


Well, ""objective"" would assume a system based on clear and fundamental
concepts, while ""arbitary"" implies no clear line of reasoning."
alt.atheism,"
Don't listen to this guy, he's just a crank.  At first, this business
about being the ""one true god"" was tolerated by the rest of us,
but now it has gotten completely out of hand.

Besides, it really isn't so bad when people stop believing in you.
It's much more relaxing when mortals aren't always begging you for favors."
alt.atheism,"

I disagree.  In the end, the *individual* is responsible for his/her own
irrationality.  The individual's belief in some dogmatic religion is a 
symptom of that irrationality.


Atheists and agnostics, I would imagine, but yes, that was my point.  An
atheist would theoretically be just as ill-equipped to study the philosophy
of religion as a Christian, and yet there is a persistence of atheists
among the ranks of philosophers.  Therefore, the conflict between one's
religious beliefs (or lack thereof) and the ability to be a philosopher
must not be as great as you assert.  The fact that most philosophers may
be non-religious was a secondary point.



As opposed to science practiced by theists?  Be careful here.

Science does have a built-in defence against faith and dogma:
skepticism.  Unfortunately, it is not foolproof.  There is that 
wonderful little creature known as the ""theory.""  Many of us believe in
the theory of evolution.  We have no absolute proof that this 
theory is true, so why do we believe it?  Because it ""makes more 
sense than...?""  There is quite a bit of faith involved here.



Well, not ALL current beliefs are deficient, but basically I agree.



Ideally, this is true.  In reality, though, you have to acknowledge
that scientists are human.  Scientists have egos and biases.  Some
scientists assume a particular theory is true, refuse to admit the
flaws in that theory because of ego problems or whatever, and proceed
to spend their time and money trying to come up with absolute proof 
for the theory.  Remember cold fusion?



Not really.  I agree that we spent far too much money on the Waco
crisis ($7,500,000 I believe), especially considering the outcome.
My point was that mass suicides in the U.S. are rare (Jonestown was
in Guyana, incidentally, although we footed the bill for the clean-up),
and the U.S. has far more important issues to address.  Compare the
number of U.S. citizens who have died in mass suicides with, say, the
number of U.S. soldiers who died during one week of the Vietnam War and
you will see my point.
"
alt.atheism,"

But, the goal need not be a subjective one.  For instance, the goal of
natural morality is the propogation of a species, perhaps.  It wasn't
really until the more intelligent animals came along that some revisions
to this were necessary.  Intelligent animals have different needs than
the others, and hence a morality suited to them must be a bit more
complicated than ""the law of the jungle.""  I don't think that
self-actualization is so subjective as you might think.  And, by
objectivity, I am assuming that the ideals of any such system could be
carried out completely."
